,Date,Tweet
0,Sun May 20 22:00:00 +0000 2018,"I'll be sitting right here watching the @BBMAs Red Carpet for the next 2 hours. Join me! #BBMAs

https://t.co/gqjybzfhQZ"
1,Mon May 14 23:07:55 +0000 2018,SO ? MANY ? AMAZING ? PERFORMERS set for the @BBMAs. RT if you're watching! This Sunday at 8 ET/5 PT on NBC. #BBMAs https://t.co/m7enbVQcje
2,Mon May 14 00:30:45 +0000 2018,"RT @TraceeEllisRoss: I GET IT FROM MY MAMA
@dianaross ????
#MothersDay https://t.co/qaOAhHyF6f"
3,Tue Apr 24 18:05:47 +0000 2018,The @BBMAs performer announcements this week. ???? #BBMAs https://t.co/nXwhLeqDOt
4,Sat Apr 14 20:24:15 +0000 2018,"Tomorrow, @littlebigtown is taking the @ACMawards stage to pay tribute to @eltonofficial with a performance of “Roc… https://t.co/gthJL9gkUZ"
5,Fri Mar 30 16:29:09 +0000 2018,"RT @richardmarx: #FBF, performing at the @AMAs in 1990 #richardmarx https://t.co/ZnKupYHd1F"
6,Wed Mar 28 17:32:58 +0000 2018,A million happy birthday wishes to @ladygaga! ?? https://t.co/Qyckh4BTqX
7,Mon Mar 26 17:12:32 +0000 2018,"LIFETIME ACHIEVEMENT. ?? 

Happy birthday, Ms. Ross! https://t.co/0Pzs84ooG2"
8,Mon Mar 26 16:34:15 +0000 2018,"RT @ACMawards: The ACM for New Vocal Group of the Year goes to @MidlandOfficial! And yes, that really was @Reba on the phone! #ACMawards ht…"
9,Mon Mar 26 16:34:09 +0000 2018,"RT @ACMawards: In case you didn’t know, the ACM for New Male Vocalist of the Year goes to @BrettYoungMusic. Check out his reaction when @Re…"
10,Mon Mar 26 16:34:02 +0000 2018,RT @ACMawards: Over the weekend @Reba called the ACM New Artist of the Year winners to let them know they had won! Let’s just say our New F…
11,Tue Mar 20 17:07:51 +0000 2018,RT @katyperry: Yes I brought you back cause I believe in you... and then America voted you back on the @AMAs ?? https://t.co/aeNrfnaeKh
12,Fri Mar 09 00:33:31 +0000 2018,BOSS... the host of the 2017 #AMAs. ? Enough said. #InternationalWomensDay https://t.co/gqWBoppXla
13,Thu Mar 08 20:50:17 +0000 2018,"A driven, stunning and talented woman... the 2016 #AMAs host. #InternationalWomensDay https://t.co/W8fZHmqP7d"
14,Thu Mar 08 18:16:33 +0000 2018,"One inspiring, powerful and strong woman... the host of the 2015 #AMAs. ? #InternationalWomensDay https://t.co/0HAI7cchx0"
15,Thu Mar 01 20:40:36 +0000 2018,"It’s definitely not too late to say HBD JB! Happy 24th birthday, @justinbieber ? https://t.co/TDkNaUrvGg"
16,Mon Feb 26 23:01:26 +0000 2018,".@BTS_twt ARMY LAST CALL! ? The last day to order your #BTSxAMAs pins and patches is this Wednesday, February 28th!… https://t.co/uGYxBGojL1"
17,Tue Feb 20 22:43:49 +0000 2018,Happy birthday QUEEN RIRI! ? @rihanna https://t.co/FeuioRe7R4
18,Tue Feb 20 20:49:39 +0000 2018,"RT @donnyosmond: 2/19/74 @michaeljackson and I hosted the very 1st @AMAs. Can't believe this was 44 years ago! Missing you today, #MJ. Who…"
19,Thu Feb 15 19:07:08 +0000 2018,@ss_shawarmy @BTS_twt ??
20,Sun May 20 22:00:00 +0000 2018,"I'll be sitting right here watching the @BBMAs Red Carpet for the next 2 hours. Join me! #BBMAs

https://t.co/gqjybzfhQZ"
21,Mon May 14 23:07:55 +0000 2018,SO ? MANY ? AMAZING ? PERFORMERS set for the @BBMAs. RT if you're watching! This Sunday at 8 ET/5 PT on NBC. #BBMAs https://t.co/m7enbVQcje
22,Mon May 14 00:30:45 +0000 2018,"RT @TraceeEllisRoss: I GET IT FROM MY MAMA
@dianaross ????
#MothersDay https://t.co/qaOAhHyF6f"
23,Tue Apr 24 18:05:47 +0000 2018,The @BBMAs performer announcements this week. ???? #BBMAs https://t.co/nXwhLeqDOt
24,Sat Apr 14 20:24:15 +0000 2018,"Tomorrow, @littlebigtown is taking the @ACMawards stage to pay tribute to @eltonofficial with a performance of “Roc… https://t.co/gthJL9gkUZ"
25,Fri Mar 30 16:29:09 +0000 2018,"RT @richardmarx: #FBF, performing at the @AMAs in 1990 #richardmarx https://t.co/ZnKupYHd1F"
26,Wed Mar 28 17:32:58 +0000 2018,A million happy birthday wishes to @ladygaga! ?? https://t.co/Qyckh4BTqX
27,Mon Mar 26 17:12:32 +0000 2018,"LIFETIME ACHIEVEMENT. ?? 

Happy birthday, Ms. Ross! https://t.co/0Pzs84ooG2"
28,Mon Mar 26 16:34:15 +0000 2018,"RT @ACMawards: The ACM for New Vocal Group of the Year goes to @MidlandOfficial! And yes, that really was @Reba on the phone! #ACMawards ht…"
29,Mon Mar 26 16:34:09 +0000 2018,"RT @ACMawards: In case you didn’t know, the ACM for New Male Vocalist of the Year goes to @BrettYoungMusic. Check out his reaction when @Re…"
30,Mon Mar 26 16:34:02 +0000 2018,RT @ACMawards: Over the weekend @Reba called the ACM New Artist of the Year winners to let them know they had won! Let’s just say our New F…
31,Tue Mar 20 17:07:51 +0000 2018,RT @katyperry: Yes I brought you back cause I believe in you... and then America voted you back on the @AMAs ?? https://t.co/aeNrfnaeKh
32,Fri Mar 09 00:33:31 +0000 2018,BOSS... the host of the 2017 #AMAs. ? Enough said. #InternationalWomensDay https://t.co/gqWBoppXla
33,Thu Mar 08 20:50:17 +0000 2018,"A driven, stunning and talented woman... the 2016 #AMAs host. #InternationalWomensDay https://t.co/W8fZHmqP7d"
34,Thu Mar 08 18:16:33 +0000 2018,"One inspiring, powerful and strong woman... the host of the 2015 #AMAs. ? #InternationalWomensDay https://t.co/0HAI7cchx0"
35,Thu Mar 01 20:40:36 +0000 2018,"It’s definitely not too late to say HBD JB! Happy 24th birthday, @justinbieber ? https://t.co/TDkNaUrvGg"
36,Mon Feb 26 23:01:26 +0000 2018,".@BTS_twt ARMY LAST CALL! ? The last day to order your #BTSxAMAs pins and patches is this Wednesday, February 28th!… https://t.co/uGYxBGojL1"
37,Tue Feb 20 22:43:49 +0000 2018,Happy birthday QUEEN RIRI! ? @rihanna https://t.co/FeuioRe7R4
38,Tue Feb 20 20:49:39 +0000 2018,"RT @donnyosmond: 2/19/74 @michaeljackson and I hosted the very 1st @AMAs. Can't believe this was 44 years ago! Missing you today, #MJ. Who…"
39,Thu Feb 15 19:07:08 +0000 2018,@ss_shawarmy @BTS_twt ??
40,Thu Feb 15 19:04:04 +0000 2018,"“The #AMAs were the biggest gift we could have gotten from our fans."" #BTSonBillboard https://t.co/gXcdRwRGQA"
41,Wed Feb 14 17:44:46 +0000 2018,"Get you someone who looks at you the way @keithurban looks at Nicole Kidman. ? Happy #ValentinesDay, loves! https://t.co/tLJgv87TBA"
42,Tue Feb 13 17:00:07 +0000 2018,"NEW DATE, SAME UNFORGETTABLE NIGHT. 

The 2018 American Music Awards will be LIVE Tuesday, October 9th on ABC. #AMAs https://t.co/WOoB79Gt6j"
43,Mon Feb 12 19:25:45 +0000 2018,"Congrats, @BTS_twt! ?? #DNAwentGOLD https://t.co/9Xc0tRxE9T"
44,Sun Feb 11 22:01:08 +0000 2018,"Happy birthday, @thegreatkhalid! ???? https://t.co/rxWa2AnfK8"
45,Thu Feb 08 21:58:16 +0000 2018,@joafrcaetano @Pink ME TOO! I watched it again today and CHILLS.
46,Thu Feb 08 21:53:40 +0000 2018,Forever inspired by @Pink. ? #tbt https://t.co/SGJlp4i4O6
47,Mon Feb 05 00:54:17 +0000 2018,Running to the living room for #JTSuperbowl like... ?? #Superbowl https://t.co/s42oqe5Go0
