,Date,Tweet
0,Fri Jun 01 21:20:12 +0000 2018,.@TextronOffRoad comin' in hot to #CMAfest! Check out their booth June 7 - 10. https://t.co/wVbgGHItgc
1,Fri Jun 01 19:05:00 +0000 2018,"With a #CMAfest NASH PASS, catch performances in @Xfinity Fan Fair X &amp; get VIP Early Access to the @CrackerBarrel C… https://t.co/lD4qU1iDIb"
2,Fri Jun 01 16:52:20 +0000 2018,RT @randi_stevens2: ???????? just in time for my road trip to Nashville for #CMAFest @lukecombs https://t.co/y8xfVhgM1q
3,Fri Jun 01 16:51:55 +0000 2018,RT @littlebigtown: 6.6.18 #SummerFever ? https://t.co/lg1QamP7iQ
4,Fri Jun 01 16:51:48 +0000 2018,"RT @lindsayell: My fav album is @JohnMayer ‘s #Continuum. My producer, @kristianbush asked me to record it as a homework assignment. It was…"
5,Fri Jun 01 16:51:11 +0000 2018,RT @KeithUrban: Check out the brand new music video for #ComingHome featuring @juliamichaels! ? https://t.co/VtIZoI17Rc
6,Fri Jun 01 16:50:52 +0000 2018,"RT @cb30music: New single, ‘Like It’s a Bad Thing’ is out now! 
Listen here ? https://t.co/rmGbB0RxOw https://t.co/cROinss8Zg"
7,Fri Jun 01 16:50:38 +0000 2018,RT @Michaelraymusic: My album #Amos is OUT. I have so many people to thank for making this a reality. But most importantly you.. the fans.…
8,Fri Jun 01 16:50:07 +0000 2018,"RT @FLAGALine: Our brand new single “Simple” is out now everywhere you get music! And just cause we love y’all, we decided to drop another…"
9,Fri Jun 01 16:49:51 +0000 2018,RT @TerriClarkMusic: #TBT to #CMAFest 2016. Come catch me at this year’s #CMAFest on the Budweiser Forever Country Stage next Thursday at 3…
10,Fri Jun 01 16:48:38 +0000 2018,RT @Broncoblondie13: My new travel bucket list includes @CountryMusic cmafest in Nashville. #CMAFest
11,Fri Jun 01 16:48:24 +0000 2018,RT @xkatie19x: CMA fest playlist blasting in my ears chilling in the VIP lounge awaiting to board ma flight to my dream location! Nashville…
12,Fri Jun 01 16:48:14 +0000 2018,RT @Eureggie: Packing for #CMAfest and realizing every shirt I own says @ChrisYoungMusic on it! ?? #AwNaw #TheresMore #WhatDoIWear https://…
13,Fri Jun 01 16:03:37 +0000 2018,Attending #CMAfest? So is @Budweiser. See you there. #ThisBudsForYou https://t.co/HDVkVQuPui
14,Fri Jun 01 14:35:17 +0000 2018,"Our friends at @FirestoneTires, an official partner of #CMAfest, are coming to Xfinity Fan Fair X! Stop by June 7-1… https://t.co/wZl8MdmcEW"
15,Thu May 31 21:33:00 +0000 2018,.@GoRVing is gearing up for their road trip to Nashville for #CMAfest! RT if you're excited as they are! #GoRVing https://t.co/aY3biNAfxk
16,Thu May 31 19:12:35 +0000 2018,There's still time to get in on all the #CMAfest action! Grab your pass now and start packing!… https://t.co/eT3f7DvP3Y
17,Thu May 31 16:47:38 +0000 2018,"The safety of our fans, artists and staff is our top priority. For more info about all things CMA Fest, including t… https://t.co/mq2WaNKX7z"
18,Wed May 30 21:01:00 +0000 2018,TIME IS ALMOST UP! Enter the #CMAfest Ultimate Fan Experiences Drawing by 10 AM|CT tomorrow for a chance to win a m… https://t.co/SgV5BlBLW0
19,Wed May 30 15:00:03 +0000 2018,ONLY 24 HOURS LEFT to enter the Ultimate Fan Experiences Drawing for a chance to meet some of your favorite Country… https://t.co/zg6GFTbE5T
20,Fri Jun 01 21:20:12 +0000 2018,.@TextronOffRoad comin' in hot to #CMAfest! Check out their booth June 7 - 10. https://t.co/wVbgGHItgc
21,Fri Jun 01 19:05:00 +0000 2018,"With a #CMAfest NASH PASS, catch performances in @Xfinity Fan Fair X &amp; get VIP Early Access to the @CrackerBarrel C… https://t.co/lD4qU1iDIb"
22,Fri Jun 01 16:52:20 +0000 2018,RT @randi_stevens2: ???????? just in time for my road trip to Nashville for #CMAFest @lukecombs https://t.co/y8xfVhgM1q
23,Fri Jun 01 16:51:55 +0000 2018,RT @littlebigtown: 6.6.18 #SummerFever ? https://t.co/lg1QamP7iQ
24,Fri Jun 01 16:51:48 +0000 2018,"RT @lindsayell: My fav album is @JohnMayer ‘s #Continuum. My producer, @kristianbush asked me to record it as a homework assignment. It was…"
25,Fri Jun 01 16:51:11 +0000 2018,RT @KeithUrban: Check out the brand new music video for #ComingHome featuring @juliamichaels! ? https://t.co/VtIZoI17Rc
26,Fri Jun 01 16:50:52 +0000 2018,"RT @cb30music: New single, ‘Like It’s a Bad Thing’ is out now! 
Listen here ? https://t.co/rmGbB0RxOw https://t.co/cROinss8Zg"
27,Fri Jun 01 16:50:38 +0000 2018,RT @Michaelraymusic: My album #Amos is OUT. I have so many people to thank for making this a reality. But most importantly you.. the fans.…
28,Fri Jun 01 16:50:07 +0000 2018,"RT @FLAGALine: Our brand new single “Simple” is out now everywhere you get music! And just cause we love y’all, we decided to drop another…"
29,Fri Jun 01 16:49:51 +0000 2018,RT @TerriClarkMusic: #TBT to #CMAFest 2016. Come catch me at this year’s #CMAFest on the Budweiser Forever Country Stage next Thursday at 3…
30,Fri Jun 01 16:48:38 +0000 2018,RT @Broncoblondie13: My new travel bucket list includes @CountryMusic cmafest in Nashville. #CMAFest
31,Fri Jun 01 16:48:24 +0000 2018,RT @xkatie19x: CMA fest playlist blasting in my ears chilling in the VIP lounge awaiting to board ma flight to my dream location! Nashville…
32,Fri Jun 01 16:48:14 +0000 2018,RT @Eureggie: Packing for #CMAfest and realizing every shirt I own says @ChrisYoungMusic on it! ?? #AwNaw #TheresMore #WhatDoIWear https://…
33,Fri Jun 01 16:03:37 +0000 2018,Attending #CMAfest? So is @Budweiser. See you there. #ThisBudsForYou https://t.co/HDVkVQuPui
34,Fri Jun 01 14:35:17 +0000 2018,"Our friends at @FirestoneTires, an official partner of #CMAfest, are coming to Xfinity Fan Fair X! Stop by June 7-1… https://t.co/wZl8MdmcEW"
35,Thu May 31 21:33:00 +0000 2018,.@GoRVing is gearing up for their road trip to Nashville for #CMAfest! RT if you're excited as they are! #GoRVing https://t.co/aY3biNAfxk
36,Thu May 31 19:12:35 +0000 2018,There's still time to get in on all the #CMAfest action! Grab your pass now and start packing!… https://t.co/eT3f7DvP3Y
37,Thu May 31 16:47:38 +0000 2018,"The safety of our fans, artists and staff is our top priority. For more info about all things CMA Fest, including t… https://t.co/mq2WaNKX7z"
38,Wed May 30 21:01:00 +0000 2018,TIME IS ALMOST UP! Enter the #CMAfest Ultimate Fan Experiences Drawing by 10 AM|CT tomorrow for a chance to win a m… https://t.co/SgV5BlBLW0
39,Wed May 30 15:00:03 +0000 2018,ONLY 24 HOURS LEFT to enter the Ultimate Fan Experiences Drawing for a chance to meet some of your favorite Country… https://t.co/zg6GFTbE5T
40,Wed May 30 00:56:11 +0000 2018,Make sure to grab your tickets to see performances on the Radio Disney Country Stage inside @Xfinity Fan Fair X!… https://t.co/bPqlKqCDMu
41,Wed May 30 00:55:06 +0000 2018,RT @coleswindell: #TheOnesWhoGotMeHere video is out now on @AOL.  https://t.co/8TbwoqrDmT
42,Wed May 30 00:49:35 +0000 2018,RT @russelled: Watch the #BlueTacoma music video NOW on @CMT!!!! https://t.co/UmoV8dSBHQ https://t.co/hpwOSbyPUE
43,Wed May 30 00:49:18 +0000 2018,RT @mirandalambert: Wednesday. #KeeperOfTheFlame https://t.co/leCMgFX16y
44,Wed May 30 00:45:28 +0000 2018,RT @TeganMarieMusic: #IKHTMABC ? 6.1.18 https://t.co/3n8V1dW1tf
45,Tue May 29 15:07:52 +0000 2018,The Ultimate Fan Experiences Drawing is NOW OPEN! Enter here for a chance to win artist meet-and-greets and access… https://t.co/DVojkHeEBG
46,Mon May 28 21:32:00 +0000 2018,.@HGTV is headed to Nashville in just a few days. Enter the Ultimate Fan Experiences Drawing for a chance to win FR… https://t.co/LK3CcT6WoY
47,Mon May 28 17:08:00 +0000 2018,"The Second Annual #MartellCastforaCure presented by @ChrisYoungMusic and @TH3Legends on Sunday, June 3 will benefit… https://t.co/vOBn2l6SY2"
48,Mon May 28 15:03:00 +0000 2018,TOMORROW! #CMAfest https://t.co/sg8OpubaqW
49,Mon May 28 12:29:00 +0000 2018,"Today, we remember those who sacrificed their lives to protect this great nation. #MemorialDay https://t.co/z0anfXAeCQ"
50,Sun May 27 20:03:00 +0000 2018,Country Music's biggest stars will step up to strike out cancer at @cityofhope's Celebrity Softball Game on June 9.… https://t.co/Qhj3FTNoKv
51,Sun May 27 16:06:00 +0000 2018,"Don't wait! Order your official #CMAfest merch by Tuesday, May 29th to get it just in time to rock it at the festiv… https://t.co/SMeL1Sh5Od"
52,Sat May 26 15:05:00 +0000 2018,Create your own personal animated GIF with your pals at the @DurangoBoots booth in Xfinity Fan Fair X during… https://t.co/4vRnxecHXL
