,Date,Tweet
0,Sat Jun 02 13:00:46 +0000 2018,"""My manager called @MusiCares and they helped me with a psych evaluation, medication and psychotherapy."" Here's how… https://t.co/CEsoJX1Cdk"
1,Sat Jun 02 01:01:01 +0000 2018,"Hours after @charli_xcx teased she is ""going to release a lot music this year,"" British singer/songwriter released… https://t.co/ITpcK4LRoX"
2,Fri Jun 01 23:21:01 +0000 2018,"The video for @KeshaRose's heartfelt anthem ""Hymn"" is delivered with a special intention. It been dedicated to… https://t.co/TIs3DrfDVM"
3,Fri Jun 01 21:17:01 +0000 2018,"At a historic moment for millions, GRAMMY winner @KendrickLamar made hip-hop and American literary history.  At the… https://t.co/ztPgDAAou5"
4,Fri Jun 01 19:18:30 +0000 2018,"WATCH: Get an exclusive look at the brand-new video for Pleasure P's (@Marcus_Cooper) new summery single, ""Could Yo… https://t.co/mi2fUdaGgw"
5,Fri Jun 01 18:30:08 +0000 2018,"After months of anticipation, the new #KanyeWest album is here! 'Ye,' the seven-song, 23-minute album opens with th… https://t.co/bFKRoIVnKn"
6,Fri Jun 01 17:41:14 +0000 2018,"We have the EXCLUSIVE video premiere of Pleasure P's (@Marcus_Cooper) ""Could You Love Me"" featuring Flo Rida (… https://t.co/hj8f2s8QQS"
7,Fri Jun 01 16:14:00 +0000 2018,"#Folk songstress @AmberRubarth reveals which coast she prefers, her favorite place to listen to #music, the first c… https://t.co/4qeKMzOfge"
8,Fri Jun 01 14:51:02 +0000 2018,"GRAMMY winners @Maroon5 have released a star-studded video for the remix of ""Girls Like You"" featuring @iamcardib!… https://t.co/s7snF1Liqy"
9,Fri Jun 01 13:00:54 +0000 2018,"Chicago's @RiotFest has announced its first wave of artists for this year's festival. Performers include @Blink182,… https://t.co/75xR1lWZlI"
10,Fri Jun 01 02:03:01 +0000 2018,".@JacobyShaddix of @PapaRoach knows firsthand that the real power of music and lyrics can save a life. ?

Along wit… https://t.co/oxKTINowt3"
11,Fri Jun 01 00:57:01 +0000 2018,There's a wealth of socially conscious music and @BodyCountBand — fronted by Ice T (@FINALLEVEL) — got political wi… https://t.co/ZtckayEm3j
12,Thu May 31 23:52:44 +0000 2018,"You can expect @NICKIMINAJ's new album on June 15, which will be followed by the documentary #MakingOfQueen, showin… https://t.co/c5TZgOg5IC"
13,Thu May 31 23:04:21 +0000 2018,It looks like #Apple has created a new international music publishing division. Find out what the move into publish… https://t.co/kSZD1CkRoL
14,Thu May 31 22:53:20 +0000 2018,Get ready for the #BETAwards happening June 24! @iamjamiefoxx is set to host the award show with performances from… https://t.co/QZQaIae782
15,Thu May 31 17:06:29 +0000 2018,Additional comment from Recording Academy President/CEO Neil Portnow on his leadership role.… https://t.co/WckP5CbIeO
16,Thu May 31 17:01:08 +0000 2018,Statement from Recording Academy President/CEO Neil Portnow regarding preparations for future leadership transition… https://t.co/Raq4gHWv3z
17,Thu May 31 15:09:01 +0000 2018,.@StubHub released their fourth annual report on the hottest in-demand summer 2018 tours by the numbers and GRAMMY… https://t.co/pOxxvgRnrj
18,Thu May 31 14:13:03 +0000 2018,"In an exclusive op-ed, @TheBrentSmith and Eric Bass (@ebassprod) of @Shinedown share why the time was right to tack… https://t.co/3ruWyYBhe4"
19,Thu May 31 13:00:43 +0000 2018,"From Dublin, Ireland, to Nashville, Tenn., @U2 made a special stop at Jack White's @ThirdManRecords studio to recor… https://t.co/LmEBaGQzwS"
20,Sat Jun 02 13:00:46 +0000 2018,"""My manager called @MusiCares and they helped me with a psych evaluation, medication and psychotherapy."" Here's how… https://t.co/CEsoJX1Cdk"
21,Sat Jun 02 01:01:01 +0000 2018,"Hours after @charli_xcx teased she is ""going to release a lot music this year,"" British singer/songwriter released… https://t.co/ITpcK4LRoX"
22,Fri Jun 01 23:21:01 +0000 2018,"The video for @KeshaRose's heartfelt anthem ""Hymn"" is delivered with a special intention. It been dedicated to… https://t.co/TIs3DrfDVM"
23,Fri Jun 01 21:17:01 +0000 2018,"At a historic moment for millions, GRAMMY winner @KendrickLamar made hip-hop and American literary history.  At the… https://t.co/ztPgDAAou5"
24,Fri Jun 01 19:18:30 +0000 2018,"WATCH: Get an exclusive look at the brand-new video for Pleasure P's (@Marcus_Cooper) new summery single, ""Could Yo… https://t.co/mi2fUdaGgw"
25,Fri Jun 01 18:30:08 +0000 2018,"After months of anticipation, the new #KanyeWest album is here! 'Ye,' the seven-song, 23-minute album opens with th… https://t.co/bFKRoIVnKn"
26,Fri Jun 01 17:41:14 +0000 2018,"We have the EXCLUSIVE video premiere of Pleasure P's (@Marcus_Cooper) ""Could You Love Me"" featuring Flo Rida (… https://t.co/hj8f2s8QQS"
27,Fri Jun 01 16:14:00 +0000 2018,"#Folk songstress @AmberRubarth reveals which coast she prefers, her favorite place to listen to #music, the first c… https://t.co/4qeKMzOfge"
28,Fri Jun 01 14:51:02 +0000 2018,"GRAMMY winners @Maroon5 have released a star-studded video for the remix of ""Girls Like You"" featuring @iamcardib!… https://t.co/s7snF1Liqy"
29,Fri Jun 01 13:00:54 +0000 2018,"Chicago's @RiotFest has announced its first wave of artists for this year's festival. Performers include @Blink182,… https://t.co/75xR1lWZlI"
30,Fri Jun 01 02:03:01 +0000 2018,".@JacobyShaddix of @PapaRoach knows firsthand that the real power of music and lyrics can save a life. ?

Along wit… https://t.co/oxKTINowt3"
31,Fri Jun 01 00:57:01 +0000 2018,There's a wealth of socially conscious music and @BodyCountBand — fronted by Ice T (@FINALLEVEL) — got political wi… https://t.co/ZtckayEm3j
32,Thu May 31 23:52:44 +0000 2018,"You can expect @NICKIMINAJ's new album on June 15, which will be followed by the documentary #MakingOfQueen, showin… https://t.co/c5TZgOg5IC"
33,Thu May 31 23:04:21 +0000 2018,It looks like #Apple has created a new international music publishing division. Find out what the move into publish… https://t.co/kSZD1CkRoL
34,Thu May 31 22:53:20 +0000 2018,Get ready for the #BETAwards happening June 24! @iamjamiefoxx is set to host the award show with performances from… https://t.co/QZQaIae782
35,Thu May 31 17:06:29 +0000 2018,Additional comment from Recording Academy President/CEO Neil Portnow on his leadership role.… https://t.co/WckP5CbIeO
36,Thu May 31 17:01:08 +0000 2018,Statement from Recording Academy President/CEO Neil Portnow regarding preparations for future leadership transition… https://t.co/Raq4gHWv3z
37,Thu May 31 15:09:01 +0000 2018,.@StubHub released their fourth annual report on the hottest in-demand summer 2018 tours by the numbers and GRAMMY… https://t.co/pOxxvgRnrj
38,Thu May 31 14:13:03 +0000 2018,"In an exclusive op-ed, @TheBrentSmith and Eric Bass (@ebassprod) of @Shinedown share why the time was right to tack… https://t.co/3ruWyYBhe4"
39,Thu May 31 13:00:43 +0000 2018,"From Dublin, Ireland, to Nashville, Tenn., @U2 made a special stop at Jack White's @ThirdManRecords studio to recor… https://t.co/LmEBaGQzwS"
40,Thu May 31 00:25:22 +0000 2018,".@KeshaRose made music out of her emotions that many fans can relate to. 

? Browse through more quotes from artist… https://t.co/tNqiBD8CbI"
41,Wed May 30 22:59:01 +0000 2018,"Good news @Halestorm fans! Today, the band premiered their brand-new single, ""Uncomfortable,"" along with revealing… https://t.co/Y6KDSkN2GK"
42,Wed May 30 21:52:01 +0000 2018,".@AJRBrother found their unique sound the hard way, by cutting their teeth busking on the streets of #NYC ? We sat… https://t.co/NGJSenqTBz"
43,Wed May 30 20:42:02 +0000 2018,"With four new EPs stitching together as her fourth studio album, 'R.O.S.E,' GRAMMY nominee @JessieJ is ready to bri… https://t.co/9EjC4jmI9I"
44,Wed May 30 19:00:38 +0000 2018,"A fan was able to get @RiversCuomo and @Weezer to cover Toto's ""Africa."" ? Drop what you're doing and listen:… https://t.co/wnGDKGvUGt"
45,Wed May 30 17:38:01 +0000 2018,It seems Demi Lovato (@ddlovato) has had plenty of inspiration to push forward with new music of her own coming. Sh… https://t.co/Tk8LoD3ZUW
46,Wed May 30 15:06:03 +0000 2018,It's almost hard to imagine that @BebeRexha has yet to release a full-length studio album considering we've heard h… https://t.co/WoR1Kq9rDC
47,Wed May 30 13:00:45 +0000 2018,"K-pop septet @BTS_twt can add ""Billboard top seller"" to their list of achievements thanks to their May 18 release '… https://t.co/vCu3sZrhjJ"
48,Wed May 30 01:45:02 +0000 2018,"Just like GRAMMY winner @MariahCarey did, surround yourself with positive people. 

Along with our charity,… https://t.co/l3ecQKKpqH"
49,Wed May 30 00:35:02 +0000 2018,"Get out your tie-dye and bandanas — the '60s counterculture musical phenomenon, '#Hair,' is coming to a TV screen n… https://t.co/hBaZqwcawC"
50,Tue May 29 22:22:02 +0000 2018,Florence (@flo_tweet) + The Machine will hit the road for a 23-date tour through North America this fall following… https://t.co/BvlXzBWvm0
51,Tue May 29 20:43:47 +0000 2018,"We’re LIVE with GRAMMY winner @ZiggyMarley from our headquarters in Santa Monica, CA! ? Watch his exclusive… https://t.co/z8a586hab5"
52,Tue May 29 19:13:02 +0000 2018,"Drake delivers ""I'm Upset,"" the latest single from his highly anticipated fifth full-length album, 'Scorpion.'

Tak… https://t.co/KPAgaqiaxP"
53,Tue May 29 18:30:58 +0000 2018,"RT @ziggymarley: We coming to you LIVE this afternoon !

Check the @RecordingAcad Facebook page at 1:30p PT for the stream as we jam #acous…"
54,Tue May 29 18:30:49 +0000 2018,RT @GRAMMYAdvocacy: #US copyright law could finally be entering the 21st century — and it’s good news for engineers and producers. Here's w…
55,Tue May 29 17:00:51 +0000 2018,"TODAY, we're going live on our #Facebook with GRAMMY winner @ZiggyMarley! ? Don't miss the exclusive performance at… https://t.co/5FsPlDWpEb"
56,Tue May 29 15:04:02 +0000 2018,"We agree with GRAMMY winner @KendrickLamar, music is our therapy.

? Browse through more #quotes from artists who h… https://t.co/pUkK3mb1D6"
57,Tue May 29 13:00:37 +0000 2018,Attention all singers! Interested in maximizing your voice? @MusiCares and singers from various genres and backgrou… https://t.co/yt51VYzXZ7
58,Mon May 28 19:10:06 +0000 2018,"For @elliegoulding, creating music is an avenue to release her feelings. 

Along with our charity, @MusiCares, lear… https://t.co/7YGpQ6vEUP"
59,Mon May 28 16:21:00 +0000 2018,".@ShawnMendes shares the inspiration behind his latest LP, what he plans to do on days off while touring, and what… https://t.co/Y0BbGfv7dE"
60,Mon May 28 14:09:12 +0000 2018,Puerto Rican reggaetón artist and Latin GRAMMY winner @NickyJamPR released the official song of the 2018… https://t.co/UNej0XLN44
61,Mon May 28 03:14:50 +0000 2018,What genre is currently on your #playlist this #MemorialDayWeekend?
62,Sun May 27 19:38:02 +0000 2018,We sat down with @BrandonVDixon to talk about different philanthropic efforts and describes that music provides him… https://t.co/tMyEhF8v1t
63,Sun May 27 19:28:00 +0000 2018,"We gathered a list of the bands who are ready to carry the torch for rock and roll! ? ?  U.S. Girls (@YouSGirls),… https://t.co/ZnF8A4pa5z"
64,Sun May 27 19:18:02 +0000 2018,Steve Hackman encourages his audience to think differently about what they hear after intermission for… https://t.co/g2Wccix6zS
65,Sun May 27 18:03:02 +0000 2018,"Being honest and expressing yourself will help you set free. 

? Learn about all of the services that @MusiCares pr… https://t.co/jhrLUIBsvW"
66,Sun May 27 00:38:03 +0000 2018,"We want to know, what are you listening to this #MemorialDayWeekend? ? https://t.co/Ehjwr5DUv7"
67,Sat May 26 22:07:01 +0000 2018,Interested in maximizing the musical use of the world's first instrument: the voice? @MusiCares and singers from va… https://t.co/wHLIsipsCq
68,Sat May 26 19:19:00 +0000 2018,".@GunsNRoses' debut album, 'Appetite For Destruction,' captured rock and roll swagger — on its way to becoming the… https://t.co/oPmqrcANM9"
69,Sat May 26 16:31:02 +0000 2018,"That's right, #MemorialDayWeekend is here! It's time for #summervibes and concerts!

From @KeshaRose ? @Mackelmore… https://t.co/kCoyqJrYWd"
70,Sat May 26 13:00:44 +0000 2018,"To extend the global appeal of ""Humble And Kind,"" GRAMMY-winning singer/songwriter @TheTimMcGraw, lifts the univers… https://t.co/Gx0yiVZHjC"
71,Fri May 25 23:23:38 +0000 2018,"Music impacts people's lives, something @barbieariel from @iconforhire know first hand. 

? Learn about all of the… https://t.co/7ueZOhD8xo"
72,Fri May 25 20:16:03 +0000 2018,".@JLo is living it up right in the music video for her latest track ""#Dinero."" ? 

Kick-off your 3-day weekend by w… https://t.co/0qJn2qPItI"
73,Fri May 25 19:02:19 +0000 2018,That #FridayFeeling when you know it's #MemorialDayWeekend! ? ? #GRAMMYs https://t.co/SHoFufBXdm
74,Fri May 25 16:53:03 +0000 2018,"Shortly after the announcement of her headlining and curating gig at @AllThingsGo, @MaggieRogers has just dropped h… https://t.co/7iE4ANJ0GS"
75,Fri May 25 15:01:32 +0000 2018,We do know that suicidal thoughts affect a wide range of people. Talking about depression and learning about the wa… https://t.co/fzaT9EKnIv
