,Date,Tweet
0,Sat Jun 02 13:00:00 +0000 2018,"Time to kickoff summer at the 2018 #WangoTango! ? 

Head to the @ATT Twitter Account to watch performances from… https://t.co/V0hlEy0LBL"
1,Sat Jun 02 02:02:00 +0000 2018,? https://t.co/6viu5hnkiQ
2,Sat Jun 02 01:30:00 +0000 2018,"""I hope it comforts ppl who hear it pls"" - @ArianaGrande ?? https://t.co/QBBcsXNoHR"
3,Sat Jun 02 01:03:00 +0000 2018,"But whyyyyy is it so hard to choose? ?? 

Click here for more Pride anthems: https://t.co/ScYmjv3aev https://t.co/PTNDZTsuRL"
4,Sat Jun 02 00:28:00 +0000 2018,Kanye West is really pushing boundaries with some of his raps off #Ye https://t.co/H8ALd55MDP
5,Sat Jun 02 00:02:00 +0000 2018,Kendrick Lamar is officially #PulitzerKenny https://t.co/raScoZl5CN
6,Fri Jun 01 23:29:00 +0000 2018,"Uh, is every @ArianaGrande song an option? ? #WangoTango https://t.co/lllKmbJywf"
7,Fri Jun 01 23:00:01 +0000 2018,.@taylorswift13 took a break from her epic tour for a date night with Joe Alwyn ?? https://t.co/c9hql6r7GG
8,Fri Jun 01 22:45:00 +0000 2018,"Don't miss out on performances from @ArianaGrande, @ShawnMendes, @5SOS and more this Saturday at #WangoTango! Watch… https://t.co/OGIN1irqON"
9,Fri Jun 01 22:25:00 +0000 2018,Blessing your feed because Perrie Edwards of @LittleMix is truly perfect ?? https://t.co/SEfHXWrkCz
10,Fri Jun 01 22:09:40 +0000 2018,"I guess Takeoff didn't actually take off ??

(....I'm so sorry for this joke) https://t.co/XbRmPUWuNa"
11,Fri Jun 01 22:06:09 +0000 2018,RT @Meghan_Trainor: Are you ready to #TurnUpTheLove? ??? Join me LIVE at @iHeartRadio’s Wango Tango by @ATT this Saturday at 7pm PT/10pm ET…
12,Fri Jun 01 22:05:54 +0000 2018,RT @ATT: Pop ? over to the livestream of the @iHeartRadio #WangoTango concert! It's streaming here LIVE at 7PM PT 6/2. https://t.co/oWbEZQv…
13,Fri Jun 01 22:00:01 +0000 2018,".@HaleyReinhart's video for her jazzy new single ""Last Kiss Goodbye"" is a romantic summer dream ? https://t.co/xIIVKegH8e"
14,Fri Jun 01 21:48:26 +0000 2018,"RT @Camila_Cabello: HAPPY PRIDE MONTH MY DARLINGS !!! i love the LGBTQ+ community so much, and to all of my fans in the community, you guys…"
15,Fri Jun 01 21:31:00 +0000 2018,Take a walk down memory lane and relive some of our favorite #WangoTango moments: https://t.co/QVOxk1TMDh https://t.co/ouCWEZENjC
