,Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago
0,0.3595,Sun May 20 22:00:00 +0000 2018,0.872,0.0,0.128,"I'll be sitting right here watching the @BBMAs Red Carpet for the next 2 hours. Join me! #BBMAs

https://t.co/gqjybzfhQZ",1
1,0.7782,Mon May 14 23:07:55 +0000 2018,0.775,0.0,0.225,SO ? MANY ? AMAZING ? PERFORMERS set for the @BBMAs. RT if you're watching! This Sunday at 8 ET/5 PT on NBC. #BBMAs https://t.co/m7enbVQcje,2
2,0.0,Mon May 14 00:30:45 +0000 2018,1.0,0.0,0.0,"RT @TraceeEllisRoss: I GET IT FROM MY MAMA
@dianaross ????
#MothersDay https://t.co/qaOAhHyF6f",3
3,0.0,Tue Apr 24 18:05:47 +0000 2018,1.0,0.0,0.0,The @BBMAs performer announcements this week. ???? #BBMAs https://t.co/nXwhLeqDOt,4
4,-0.1027,Sat Apr 14 20:24:15 +0000 2018,0.92,0.08,0.0,"Tomorrow, @littlebigtown is taking the @ACMawards stage to pay tribute to @eltonofficial with a performance of “Roc… https://t.co/gthJL9gkUZ",5
5,0.0,Fri Mar 30 16:29:09 +0000 2018,1.0,0.0,0.0,"RT @richardmarx: #FBF, performing at the @AMAs in 1990 #richardmarx https://t.co/ZnKupYHd1F",6
6,0.68,Wed Mar 28 17:32:58 +0000 2018,0.518,0.0,0.482,A million happy birthday wishes to @ladygaga! ?? https://t.co/Qyckh4BTqX,7
7,0.6114,Mon Mar 26 17:12:32 +0000 2018,0.637,0.0,0.363,"LIFETIME ACHIEVEMENT. ?? 

Happy birthday, Ms. Ross! https://t.co/0Pzs84ooG2",8
8,0.508,Mon Mar 26 16:34:15 +0000 2018,0.88,0.0,0.12,"RT @ACMawards: The ACM for New Vocal Group of the Year goes to @MidlandOfficial! And yes, that really was @Reba on the phone! #ACMawards ht…",9
9,0.0,Mon Mar 26 16:34:09 +0000 2018,1.0,0.0,0.0,"RT @ACMawards: In case you didn’t know, the ACM for New Male Vocalist of the Year goes to @BrettYoungMusic. Check out his reaction when @Re…",10
10,0.7959,Mon Mar 26 16:34:02 +0000 2018,0.786,0.0,0.214,RT @ACMawards: Over the weekend @Reba called the ACM New Artist of the Year winners to let them know they had won! Let’s just say our New F…,11
11,0.4019,Tue Mar 20 17:07:51 +0000 2018,0.881,0.0,0.119,RT @katyperry: Yes I brought you back cause I believe in you... and then America voted you back on the @AMAs ?? https://t.co/aeNrfnaeKh,12
12,0.0,Fri Mar 09 00:33:31 +0000 2018,1.0,0.0,0.0,BOSS... the host of the 2017 #AMAs. ? Enough said. #InternationalWomensDay https://t.co/gqWBoppXla,13
13,0.7096,Thu Mar 08 20:50:17 +0000 2018,0.604,0.0,0.396,"A driven, stunning and talented woman... the 2016 #AMAs host. #InternationalWomensDay https://t.co/W8fZHmqP7d",14
14,0.836,Thu Mar 08 18:16:33 +0000 2018,0.553,0.0,0.447,"One inspiring, powerful and strong woman... the host of the 2015 #AMAs. ? #InternationalWomensDay https://t.co/0HAI7cchx0",15
15,0.7712,Thu Mar 01 20:40:36 +0000 2018,0.642,0.0,0.358,"It’s definitely not too late to say HBD JB! Happy 24th birthday, @justinbieber ? https://t.co/TDkNaUrvGg",16
16,0.0,Mon Feb 26 23:01:26 +0000 2018,1.0,0.0,0.0,".@BTS_twt ARMY LAST CALL! ? The last day to order your #BTSxAMAs pins and patches is this Wednesday, February 28th!… https://t.co/uGYxBGojL1",17
17,0.6114,Tue Feb 20 22:43:49 +0000 2018,0.556,0.0,0.444,Happy birthday QUEEN RIRI! ? @rihanna https://t.co/FeuioRe7R4,18
18,-0.3595,Tue Feb 20 20:49:39 +0000 2018,0.894,0.106,0.0,"RT @donnyosmond: 2/19/74 @michaeljackson and I hosted the very 1st @AMAs. Can't believe this was 44 years ago! Missing you today, #MJ. Who…",19
19,0.0,Thu Feb 15 19:07:08 +0000 2018,1.0,0.0,0.0,@ss_shawarmy @BTS_twt ??,20
20,0.4404,Thu Feb 15 19:04:04 +0000 2018,0.828,0.0,0.172,"“The #AMAs were the biggest gift we could have gotten from our fans."" #BTSonBillboard https://t.co/gXcdRwRGQA",21
21,0.8268,Wed Feb 14 17:44:46 +0000 2018,0.675,0.0,0.325,"Get you someone who looks at you the way @keithurban looks at Nicole Kidman. ? Happy #ValentinesDay, loves! https://t.co/tLJgv87TBA",22
22,0.4588,Tue Feb 13 17:00:07 +0000 2018,0.864,0.0,0.136,"NEW DATE, SAME UNFORGETTABLE NIGHT. 

The 2018 American Music Awards will be LIVE Tuesday, October 9th on ABC. #AMAs https://t.co/WOoB79Gt6j",23
23,0.5707,Mon Feb 12 19:25:45 +0000 2018,0.52,0.0,0.48,"Congrats, @BTS_twt! ?? #DNAwentGOLD https://t.co/9Xc0tRxE9T",24
24,0.6114,Sun Feb 11 22:01:08 +0000 2018,0.501,0.0,0.499,"Happy birthday, @thegreatkhalid! ???? https://t.co/rxWa2AnfK8",25
25,0.0,Thu Feb 08 21:58:16 +0000 2018,1.0,0.0,0.0,@joafrcaetano @Pink ME TOO! I watched it again today and CHILLS.,26
26,0.4939,Thu Feb 08 21:53:40 +0000 2018,0.61,0.0,0.39,Forever inspired by @Pink. ? #tbt https://t.co/SGJlp4i4O6,27
27,0.0,Mon Feb 05 00:54:17 +0000 2018,1.0,0.0,0.0,Running to the living room for #JTSuperbowl like... ?? #Superbowl https://t.co/s42oqe5Go0,28
28,0.9004,Wed Jan 31 17:40:28 +0000 2018,0.586,0.0,0.414,"Hey, if you know what's good, you know it's @jtimberlake's birthday! ? HBD JT and good luck this weekend! ? Throw ?… https://t.co/am2gyeHbjJ",29
29,0.0,Wed Jan 31 17:14:47 +0000 2018,1.0,0.0,0.0,"RT @TheTimMcGraw: From the 2016 @AMAs
Photo by Frederick M. Brown
#TeamMcGraw https://t.co/53QR87agcp",30
30,0.8555,Fri Jan 26 21:55:43 +0000 2018,0.373,0.0,0.627,Love this photo. Love this cartoon. ? https://t.co/wZkTTt8nEH,31
31,0.5859,Fri Jan 26 21:53:27 +0000 2018,0.568,0.0,0.432,@alulawings @ShawnMendes @NiallOfficial this is amazing,32
32,0.6924,Fri Jan 26 18:27:44 +0000 2018,0.298,0.0,0.702,@kthtoh @BTS_twt YAY!!,33
33,0.0,Fri Jan 26 18:26:47 +0000 2018,1.0,0.0,0.0,@nnicepaprika ???,34
34,0.0,Fri Jan 26 18:26:27 +0000 2018,1.0,0.0,0.0,@GoosyBanshee yessssss ??,35
