,,Compound,Text,Tweets Ago
0,,0,"""My manager called @MusiCares and they helped me with a psych evaluation, medication and psychotherapy."" Here's how… https://t.co/CEsoJX1Cdk",1
1,,-0.296,"Hours after @charli_xcx teased she is ""going to release a lot music this year,"" British singer/songwriter released… https://t.co/ITpcK4LRoX",2
2,,0.8481,"The video for @KeshaRose's heartfelt anthem ""Hymn"" is delivered with a special intention. It been dedicated to… https://t.co/TIs3DrfDVM",3
3,,0.5859,"At a historic moment for millions, GRAMMY winner @KendrickLamar made hip-hop and American literary history.  At the… https://t.co/ztPgDAAou5",4
4,,0.6369,"WATCH: Get an exclusive look at the brand-new video for Pleasure P's (@Marcus_Cooper) new summery single, ""Could Yo… https://t.co/mi2fUdaGgw",5
5,,0.1759,"After months of anticipation, the new #KanyeWest album is here! 'Ye,' the seven-song, 23-minute album opens with th… https://t.co/bFKRoIVnKn",6
6,,0.8788,"We have the EXCLUSIVE video premiere of Pleasure P's (@Marcus_Cooper) ""Could You Love Me"" featuring Flo Rida (… https://t.co/hj8f2s8QQS",7
7,,0.4588,"#Folk songstress @AmberRubarth reveals which coast she prefers, her favorite place to listen to #music, the first c… https://t.co/4qeKMzOfge",8
8,,0.7088,"GRAMMY winners @Maroon5 have released a star-studded video for the remix of ""Girls Like You"" featuring @iamcardib!… https://t.co/s7snF1Liqy",9
9,,0.4939,"Chicago's @RiotFest has announced its first wave of artists for this year's festival. Performers include @Blink182,… https://t.co/75xR1lWZlI",10
10,,0.4939,".@JacobyShaddix of @PapaRoach knows firsthand that the real power of music and lyrics can save a life. ?

Along wit… https://t.co/oxKTINowt3",11
11,,0.4939,There's a wealth of socially conscious music and @BodyCountBand — fronted by Ice T (@FINALLEVEL) — got political wi… https://t.co/ZtckayEm3j,12
12,,0,"You can expect @NICKIMINAJ's new album on June 15, which will be followed by the documentary #MakingOfQueen, showin… https://t.co/c5TZgOg5IC",13
13,,0.5423,It looks like #Apple has created a new international music publishing division. Find out what the move into publish… https://t.co/kSZD1CkRoL,14
14,,0.7424,Get ready for the #BETAwards happening June 24! @iamjamiefoxx is set to host the award show with performances from… https://t.co/QZQaIae782,15
15,,0,Additional comment from Recording Academy President/CEO Neil Portnow on his leadership role.… https://t.co/WckP5CbIeO,16
16,,0,Statement from Recording Academy President/CEO Neil Portnow regarding preparations for future leadership transition… https://t.co/Raq4gHWv3z,17
17,,0,.@StubHub released their fourth annual report on the hottest in-demand summer 2018 tours by the numbers and GRAMMY… https://t.co/pOxxvgRnrj,18
18,,0.4019,"In an exclusive op-ed, @TheBrentSmith and Eric Bass (@ebassprod) of @Shinedown share why the time was right to tack… https://t.co/3ruWyYBhe4",19
19,,0.128,"From Dublin, Ireland, to Nashville, Tenn., @U2 made a special stop at Jack White's @ThirdManRecords studio to recor… https://t.co/LmEBaGQzwS",20
20,,0,".@KeshaRose made music out of her emotions that many fans can relate to. 

? Browse through more quotes from artist… https://t.co/tNqiBD8CbI",21
21,,0.4926,"Good news @Halestorm fans! Today, the band premiered their brand-new single, ""Uncomfortable,"" along with revealing… https://t.co/Y6KDSkN2GK",22
22,,-0.2263,".@AJRBrother found their unique sound the hard way, by cutting their teeth busking on the streets of #NYC ? We sat… https://t.co/NGJSenqTBz",23
