,,Compound,Text,Tweets Ago
0,,0,"Time to kickoff summer at the 2018 #WangoTango! ? 

Head to the @ATT Twitter Account to watch performances from… https://t.co/V0hlEy0LBL",1
1,,0,? https://t.co/6viu5hnkiQ,2
2,,0.743,"""I hope it comforts ppl who hear it pls"" - @ArianaGrande ?? https://t.co/QBBcsXNoHR",3
3,,0.2088,"But whyyyyy is it so hard to choose? ?? 

Click here for more Pride anthems: https://t.co/ScYmjv3aev https://t.co/PTNDZTsuRL",4
4,,0,Kanye West is really pushing boundaries with some of his raps off #Ye https://t.co/H8ALd55MDP,5
5,,0,Kendrick Lamar is officially #PulitzerKenny https://t.co/raScoZl5CN,6
6,,0,"Uh, is every @ArianaGrande song an option? ? #WangoTango https://t.co/lllKmbJywf",7
7,,0,.@taylorswift13 took a break from her epic tour for a date night with Joe Alwyn ?? https://t.co/c9hql6r7GG,8
8,,0.1867,"Don't miss out on performances from @ArianaGrande, @ShawnMendes, @5SOS and more this Saturday at #WangoTango! Watch… https://t.co/OGIN1irqON",9
9,,0.8689,Blessing your feed because Perrie Edwards of @LittleMix is truly perfect ?? https://t.co/SEfHXWrkCz,10
10,,-0.188,"I guess Takeoff didn't actually take off ??

(....I'm so sorry for this joke) https://t.co/XbRmPUWuNa",11
11,,0.5719,RT @Meghan_Trainor: Are you ready to #TurnUpTheLove? ??? Join me LIVE at @iHeartRadio’s Wango Tango by @ATT this Saturday at 7pm PT/10pm ET…,12
12,,0,RT @ATT: Pop ? over to the livestream of the @iHeartRadio #WangoTango concert! It's streaming here LIVE at 7PM PT 6/2. https://t.co/oWbEZQv…,13
13,,0.7579,".@HaleyReinhart's video for her jazzy new single ""Last Kiss Goodbye"" is a romantic summer dream ? https://t.co/xIIVKegH8e",14
14,,0.9557,"RT @Camila_Cabello: HAPPY PRIDE MONTH MY DARLINGS !!! i love the LGBTQ+ community so much, and to all of my fans in the community, you guys…",15
15,,0.4588,Take a walk down memory lane and relive some of our favorite #WangoTango moments: https://t.co/QVOxk1TMDh https://t.co/ouCWEZENjC,16
16,,0,"Counting down the hours/minutes/seconds until I get to see @1LoganHenderson at #WangoTango Village tomorrow, hbu? ? https://t.co/AMF1PW40s3",17
17,,0.4184,TOMORROW! This is going to be the place to be in LA! Join us at 7PM PT /10PM ET for our 2018 iHeartRadio… https://t.co/eEsvy1uLNt,18
18,,0.5697,So proud of @LiamPayne for his first headlining show in NYC! ?https://t.co/J8dvboocQm,19
19,,0,Tune into the #WangoTango live stream on Twitter @ATT on Saturday June 2 at 7pm PT for performances by… https://t.co/G9a93zNP63,20
20,,0.8934,"""I hope to create anthems for you that wrap you up with comfort and make you get your best life for as long as I li… https://t.co/hxx7IUKFTh",21
21,,0.1695,"Whose #WangoTango performance are you looking forward to? ??

Don't forget, you can watch  with us tomorrow on the… https://t.co/psOIT5pSkm",22
22,,0.8312,The iHeartRadio Artist of the week is @lukecombs. We're so proud to see his successful career grow. From being a pr… https://t.co/AM8OkmQ26a,23
23,,0,You have to see all the stars that made cameos in @maroon5 + @iamcardib's video for #GirlsLikeYou:… https://t.co/qPRYnOEwwI,24
24,,0.6114,You oughta know that today is @Alanis' birthday! Happy Birthday ? https://t.co/eRQWjDn94K,25
25,,0,"Bride-to-be and #WangoTango performer @Meghan_Trainor walked us through her wedding plans! ?

https://t.co/3BL3vZNh1X",26
26,,-0.0258,99.9999% of my time spent looking at this pic was me crying over how cute Toulouse is ? #CutestPet https://t.co/GTxNgzTxB5,27
27,,0.4767,"Have I talked about how proud I am of @BTS_twt lately? (probably, yes) ? https://t.co/VU3fd5qlVT",28
28,,0.4019,Kanye West shot the album cover on his way to the album listening party: https://t.co/rJAkezjgJP https://t.co/pYYCiZ89YN,29
29,,0.6124,Would your rather be #Nervous like @ShawnMendes or #Confident like @ddlovato? ? https://t.co/kmTXBik2eB,30
